title,author,price,publisher,isbn,contributor,date,rank,rank_last_week,weeks_on_list
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-10-15,8,7,38
THE WINNERS,Fredrik Backman,0.00,Atria,1982112794,by Fredrik Backman,2022-10-15,9,0,1
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-10-15,10,10,66
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-10-15,11,11,28
BLOWBACK,James Patterson and Brendan DuBois,0.00,"Little, Brown",0316499633,by James Patterson and Brendan DuBois,2022-10-15,12,9,3
SUSPECT,Scott Turow,0.00,Grand Central,1538706350,by Scott Turow,2022-10-15,13,0,1
MAYBE NOW,Colleen Hoover,0.00,Atria,1668013347,by Colleen Hoover,2022-10-15,14,8,2
VINCE FLYNN: OATH OF LOYALTY,Kyle Mills,0.00,Atria/Emily Bestler,1982164913,by Kyle Mills,2022-10-15,15,12,3
VERITY,Colleen Hoover,0.00,Grand Central,1538739720,by Colleen Hoover,2022-10-14,1,3,43
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-10-14,2,2,68
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-10-14,3,5,4
THE GOLDEN ENCLAVES,Naomi Novik,0.00,Del Rey,0593158369,by Naomi Novik,2022-10-14,4,0,1
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-10-14,5,4,180
DREAMLAND,Nicholas Sparks,0.00,Random House,059344955X,by Nicholas Sparks,2022-10-14,6,1,2
TREASURE STATE,C.J. Box,0.00,Minotaur,1250768039,by C.J. Box,2022-10-14,7,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-10-14,8,7,38
THE WINNERS,Fredrik Backman,0.00,Atria,1982112794,by Fredrik Backman,2022-10-14,9,0,1
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-10-14,10,10,66
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-10-14,11,11,28
BLOWBACK,James Patterson and Brendan DuBois,0.00,"Little, Brown",0316499633,by James Patterson and Brendan DuBois,2022-10-14,12,9,3
SUSPECT,Scott Turow,0.00,Grand Central,1538706350,by Scott Turow,2022-10-14,13,0,1
MAYBE NOW,Colleen Hoover,0.00,Atria,1668013347,by Colleen Hoover,2022-10-14,14,8,2
VINCE FLYNN: OATH OF LOYALTY,Kyle Mills,0.00,Atria/Emily Bestler,1982164913,by Kyle Mills,2022-10-14,15,12,3
VERITY,Colleen Hoover,0.00,Grand Central,1538739720,by Colleen Hoover,2022-10-13,1,3,43
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-10-13,2,2,68
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-10-13,3,5,4
THE GOLDEN ENCLAVES,Naomi Novik,0.00,Del Rey,0593158369,by Naomi Novik,2022-10-13,4,0,1
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-10-13,5,4,180
DREAMLAND,Nicholas Sparks,0.00,Random House,059344955X,by Nicholas Sparks,2022-10-13,6,1,2
TREASURE STATE,C.J. Box,0.00,Minotaur,1250768039,by C.J. Box,2022-10-13,7,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-10-13,8,7,38
THE WINNERS,Fredrik Backman,0.00,Atria,1982112794,by Fredrik Backman,2022-10-13,9,0,1
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-10-13,10,10,66
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-10-13,11,11,28
BLOWBACK,James Patterson and Brendan DuBois,0.00,"Little, Brown",0316499633,by James Patterson and Brendan DuBois,2022-10-13,12,9,3
SUSPECT,Scott Turow,0.00,Grand Central,1538706350,by Scott Turow,2022-10-13,13,0,1
MAYBE NOW,Colleen Hoover,0.00,Atria,1668013347,by Colleen Hoover,2022-10-13,14,8,2
VINCE FLYNN: OATH OF LOYALTY,Kyle Mills,0.00,Atria/Emily Bestler,1982164913,by Kyle Mills,2022-10-13,15,12,3
VERITY,Colleen Hoover,0.00,Grand Central,1538739720,by Colleen Hoover,2022-10-12,1,3,43
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-10-12,2,2,68
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-10-12,3,5,4
THE GOLDEN ENCLAVES,Naomi Novik,0.00,Del Rey,0593158369,by Naomi Novik,2022-10-12,4,0,1
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-10-12,5,4,180
DREAMLAND,Nicholas Sparks,0.00,Random House,059344955X,by Nicholas Sparks,2022-10-12,6,1,2
TREASURE STATE,C.J. Box,0.00,Minotaur,1250768039,by C.J. Box,2022-10-12,7,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-10-12,8,7,38
THE WINNERS,Fredrik Backman,0.00,Atria,1982112794,by Fredrik Backman,2022-10-12,9,0,1
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-10-12,10,10,66
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-10-12,11,11,28
BLOWBACK,James Patterson and Brendan DuBois,0.00,"Little, Brown",0316499633,by James Patterson and Brendan DuBois,2022-10-12,12,9,3
SUSPECT,Scott Turow,0.00,Grand Central,1538706350,by Scott Turow,2022-10-12,13,0,1
MAYBE NOW,Colleen Hoover,0.00,Atria,1668013347,by Colleen Hoover,2022-10-12,14,8,2
VINCE FLYNN: OATH OF LOYALTY,Kyle Mills,0.00,Atria/Emily Bestler,1982164913,by Kyle Mills,2022-10-12,15,12,3
VERITY,Colleen Hoover,0.00,Grand Central,1538739720,by Colleen Hoover,2022-10-11,1,3,43
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-10-11,2,2,68
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-10-11,3,5,4
THE GOLDEN ENCLAVES,Naomi Novik,0.00,Del Rey,0593158369,by Naomi Novik,2022-10-11,4,0,1
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-10-11,5,4,180
DREAMLAND,Nicholas Sparks,0.00,Random House,059344955X,by Nicholas Sparks,2022-10-11,6,1,2
TREASURE STATE,C.J. Box,0.00,Minotaur,1250768039,by C.J. Box,2022-10-11,7,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-10-11,8,7,38
THE WINNERS,Fredrik Backman,0.00,Atria,1982112794,by Fredrik Backman,2022-10-11,9,0,1
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-10-11,10,10,66
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-10-11,11,11,28
BLOWBACK,James Patterson and Brendan DuBois,0.00,"Little, Brown",0316499633,by James Patterson and Brendan DuBois,2022-10-11,12,9,3
SUSPECT,Scott Turow,0.00,Grand Central,1538706350,by Scott Turow,2022-10-11,13,0,1
MAYBE NOW,Colleen Hoover,0.00,Atria,1668013347,by Colleen Hoover,2022-10-11,14,8,2
VINCE FLYNN: OATH OF LOYALTY,Kyle Mills,0.00,Atria/Emily Bestler,1982164913,by Kyle Mills,2022-10-11,15,12,3
VERITY,Colleen Hoover,0.00,Grand Central,1538739720,by Colleen Hoover,2022-10-10,1,3,43
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-10-10,2,2,68
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-10-10,3,5,4
THE GOLDEN ENCLAVES,Naomi Novik,0.00,Del Rey,0593158369,by Naomi Novik,2022-10-10,4,0,1
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-10-10,5,4,180
DREAMLAND,Nicholas Sparks,0.00,Random House,059344955X,by Nicholas Sparks,2022-10-10,6,1,2
TREASURE STATE,C.J. Box,0.00,Minotaur,1250768039,by C.J. Box,2022-10-10,7,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-10-10,8,7,38
THE WINNERS,Fredrik Backman,0.00,Atria,1982112794,by Fredrik Backman,2022-10-10,9,0,1
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-10-10,10,10,66
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-10-10,11,11,28
BLOWBACK,James Patterson and Brendan DuBois,0.00,"Little, Brown",0316499633,by James Patterson and Brendan DuBois,2022-10-10,12,9,3
SUSPECT,Scott Turow,0.00,Grand Central,1538706350,by Scott Turow,2022-10-10,13,0,1
MAYBE NOW,Colleen Hoover,0.00,Atria,1668013347,by Colleen Hoover,2022-10-10,14,8,2
VINCE FLYNN: OATH OF LOYALTY,Kyle Mills,0.00,Atria/Emily Bestler,1982164913,by Kyle Mills,2022-10-10,15,12,3
DREAMLAND,Nicholas Sparks,0.00,Random House,059344955X,by Nicholas Sparks,2022-10-09,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-10-09,2,5,67
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-10-09,3,4,42
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-10-09,4,1,179
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-10-09,5,3,3
THE BULLET THAT MISSED,Richard Osman,0.00,Pamela Dorman,059329940X,by Richard Osman,2022-10-09,6,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-10-09,7,8,37
MAYBE NOW,Colleen Hoover,0.00,Atria,1668013347,by Colleen Hoover,2022-10-09,8,0,1
BLOWBACK,James Patterson and Brendan DuBois,0.00,"Little, Brown",0316499633,by James Patterson and Brendan DuBois,2022-10-09,9,7,2
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-10-09,10,11,65
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-10-09,11,10,27
VINCE FLYNN: OATH OF LOYALTY,Kyle Mills,0.00,Atria/Emily Bestler,198216493X,by Kyle Mills,2022-10-09,12,2,2
LUCY BY THE SEA,Elizabeth Strout,0.00,Random House,0593446062,by Elizabeth Strout,2022-10-09,13,0,1
SWEETWATER AND THE WITCH,Jayne Castle,0.00,Berkley,0593440269,by Jayne Castle,2022-10-09,14,0,1
THE VIPER,J.R. Ward,0.00,Gallery,1982179929,by J.R. Ward,2022-10-09,15,0,1
DREAMLAND,Nicholas Sparks,0.00,Random House,059344955X,by Nicholas Sparks,2022-10-08,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-10-08,2,5,67
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-10-08,3,4,42
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-10-08,4,1,179
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-10-08,5,3,3
THE BULLET THAT MISSED,Richard Osman,0.00,Pamela Dorman,059329940X,by Richard Osman,2022-10-08,6,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-10-08,7,8,37
MAYBE NOW,Colleen Hoover,0.00,Atria,1668013347,by Colleen Hoover,2022-10-08,8,0,1
BLOWBACK,James Patterson and Brendan DuBois,0.00,"Little, Brown",0316499633,by James Patterson and Brendan DuBois,2022-10-08,9,7,2
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-10-08,10,11,65
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-10-08,11,10,27
VINCE FLYNN: OATH OF LOYALTY,Kyle Mills,0.00,Atria/Emily Bestler,198216493X,by Kyle Mills,2022-10-08,12,2,2
LUCY BY THE SEA,Elizabeth Strout,0.00,Random House,0593446062,by Elizabeth Strout,2022-10-08,13,0,1
SWEETWATER AND THE WITCH,Jayne Castle,0.00,Berkley,0593440269,by Jayne Castle,2022-10-08,14,0,1
THE VIPER,J.R. Ward,0.00,Gallery,1982179929,by J.R. Ward,2022-10-08,15,0,1
DREAMLAND,Nicholas Sparks,0.00,Random House,059344955X,by Nicholas Sparks,2022-10-07,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-10-07,2,5,67
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-10-07,3,4,42
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-10-07,4,1,179
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-10-07,5,3,3
THE BULLET THAT MISSED,Richard Osman,0.00,Pamela Dorman,059329940X,by Richard Osman,2022-10-07,6,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-10-07,7,8,37
MAYBE NOW,Colleen Hoover,0.00,Atria,1668013347,by Colleen Hoover,2022-10-07,8,0,1
BLOWBACK,James Patterson and Brendan DuBois,0.00,"Little, Brown",0316499633,by James Patterson and Brendan DuBois,2022-10-07,9,7,2
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-10-07,10,11,65
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-10-07,11,10,27
VINCE FLYNN: OATH OF LOYALTY,Kyle Mills,0.00,Atria/Emily Bestler,198216493X,by Kyle Mills,2022-10-07,12,2,2
LUCY BY THE SEA,Elizabeth Strout,0.00,Random House,0593446062,by Elizabeth Strout,2022-10-07,13,0,1
SWEETWATER AND THE WITCH,Jayne Castle,0.00,Berkley,0593440269,by Jayne Castle,2022-10-07,14,0,1
THE VIPER,J.R. Ward,0.00,Gallery,1982179929,by J.R. Ward,2022-10-07,15,0,1
DREAMLAND,Nicholas Sparks,0.00,Random House,059344955X,by Nicholas Sparks,2022-10-06,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-10-06,2,5,67
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-10-06,3,4,42
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-10-06,4,1,179
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-10-06,5,3,3
THE BULLET THAT MISSED,Richard Osman,0.00,Pamela Dorman,059329940X,by Richard Osman,2022-10-06,6,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-10-06,7,8,37
MAYBE NOW,Colleen Hoover,0.00,Atria,1668013347,by Colleen Hoover,2022-10-06,8,0,1
BLOWBACK,James Patterson and Brendan DuBois,0.00,"Little, Brown",0316499633,by James Patterson and Brendan DuBois,2022-10-06,9,7,2
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-10-06,10,11,65
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-10-06,11,10,27
VINCE FLYNN: OATH OF LOYALTY,Kyle Mills,0.00,Atria/Emily Bestler,198216493X,by Kyle Mills,2022-10-06,12,2,2
LUCY BY THE SEA,Elizabeth Strout,0.00,Random House,0593446062,by Elizabeth Strout,2022-10-06,13,0,1
SWEETWATER AND THE WITCH,Jayne Castle,0.00,Berkley,0593440269,by Jayne Castle,2022-10-06,14,0,1
THE VIPER,J.R. Ward,0.00,Gallery,1982179929,by J.R. Ward,2022-10-06,15,0,1
DREAMLAND,Nicholas Sparks,0.00,Random House,059344955X,by Nicholas Sparks,2022-10-05,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-10-05,2,5,67
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-10-05,3,4,42
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-10-05,4,1,179
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-10-05,5,3,3
THE BULLET THAT MISSED,Richard Osman,0.00,Pamela Dorman,059329940X,by Richard Osman,2022-10-05,6,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-10-05,7,8,37
MAYBE NOW,Colleen Hoover,0.00,Atria,1668013347,by Colleen Hoover,2022-10-05,8,0,1
BLOWBACK,James Patterson and Brendan DuBois,0.00,"Little, Brown",0316499633,by James Patterson and Brendan DuBois,2022-10-05,9,7,2
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-10-05,10,11,65
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-10-05,11,10,27
VINCE FLYNN: OATH OF LOYALTY,Kyle Mills,0.00,Atria/Emily Bestler,198216493X,by Kyle Mills,2022-10-05,12,2,2
LUCY BY THE SEA,Elizabeth Strout,0.00,Random House,0593446062,by Elizabeth Strout,2022-10-05,13,0,1
SWEETWATER AND THE WITCH,Jayne Castle,0.00,Berkley,0593440269,by Jayne Castle,2022-10-05,14,0,1
THE VIPER,J.R. Ward,0.00,Gallery,1982179929,by J.R. Ward,2022-10-05,15,0,1
DREAMLAND,Nicholas Sparks,0.00,Random House,059344955X,by Nicholas Sparks,2022-10-04,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-10-04,2,5,67
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-10-04,3,4,42
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-10-04,4,1,179
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-10-04,5,3,3
THE BULLET THAT MISSED,Richard Osman,0.00,Pamela Dorman,059329940X,by Richard Osman,2022-10-04,6,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-10-04,7,8,37
MAYBE NOW,Colleen Hoover,0.00,Atria,1668013347,by Colleen Hoover,2022-10-04,8,0,1
BLOWBACK,James Patterson and Brendan DuBois,0.00,"Little, Brown",0316499633,by James Patterson and Brendan DuBois,2022-10-04,9,7,2
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-10-04,10,11,65
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-10-04,11,10,27
VINCE FLYNN: OATH OF LOYALTY,Kyle Mills,0.00,Atria/Emily Bestler,198216493X,by Kyle Mills,2022-10-04,12,2,2
LUCY BY THE SEA,Elizabeth Strout,0.00,Random House,0593446062,by Elizabeth Strout,2022-10-04,13,0,1
SWEETWATER AND THE WITCH,Jayne Castle,0.00,Berkley,0593440269,by Jayne Castle,2022-10-04,14,0,1
THE VIPER,J.R. Ward,0.00,Gallery,1982179929,by J.R. Ward,2022-10-04,15,0,1
DREAMLAND,Nicholas Sparks,0.00,Random House,059344955X,by Nicholas Sparks,2022-10-03,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-10-03,2,5,67
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-10-03,3,4,42
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-10-03,4,1,179
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-10-03,5,3,3
THE BULLET THAT MISSED,Richard Osman,0.00,Pamela Dorman,059329940X,by Richard Osman,2022-10-03,6,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-10-03,7,8,37
MAYBE NOW,Colleen Hoover,0.00,Atria,1668013347,by Colleen Hoover,2022-10-03,8,0,1
BLOWBACK,James Patterson and Brendan DuBois,0.00,"Little, Brown",0316499633,by James Patterson and Brendan DuBois,2022-10-03,9,7,2
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-10-03,10,11,65
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-10-03,11,10,27
VINCE FLYNN: OATH OF LOYALTY,Kyle Mills,0.00,Atria/Emily Bestler,198216493X,by Kyle Mills,2022-10-03,12,2,2
LUCY BY THE SEA,Elizabeth Strout,0.00,Random House,0593446062,by Elizabeth Strout,2022-10-03,13,0,1
SWEETWATER AND THE WITCH,Jayne Castle,0.00,Berkley,0593440269,by Jayne Castle,2022-10-03,14,0,1
THE VIPER,J.R. Ward,0.00,Gallery,1982179929,by J.R. Ward,2022-10-03,15,0,1
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-10-02,1,5,178
VINCE FLYNN: OATH OF LOYALTY,Kyle Mills,0.00,Atria/Emily Bestler,198216493X,by Kyle Mills,2022-10-02,2,0,1
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-10-02,3,1,2
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-10-02,4,3,41
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-10-02,5,4,66
THE BUTCHER AND THE WREN,Alaina Urquhart,0.00,Zando,1638930147,by Alaina Urquhart,2022-10-02,6,0,1
BLOWBACK,James Patterson and Brendan DuBois,0.00,"Little, Brown",031649965X,by James Patterson and Brendan DuBois,2022-10-02,7,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-10-02,8,7,36
NONA THE NINTH,Tamsyn Muir,0.00,Tordotcom,1250854113,by Tamsyn Muir,2022-10-02,9,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-10-02,10,9,26
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-10-02,11,8,64
FIRE AND BLOOD,George R.R. Martin,0.00,Bantam,1524796298,by George R.R. Martin,2022-10-02,12,13,12
THE SILENT PATIENT,Alex Michaelides,0.00,Celadon,125030170X,by Alex Michaelides,2022-10-02,13,0,49
ALL YOUR PERFECTS,Colleen Hoover,0.00,Atria,1501193325,by Colleen Hoover,2022-10-02,14,0,11
A COURT OF SILVER FLAMES,Sarah J. Maas,0.00,Bloomsbury,1635577993,by Sarah J. Maas,2022-10-02,15,6,4
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-10-01,1,5,178
